	Twet	Load	Hour(s)	TimeStamp(s)
2012-01-16 00:00:00	-7.0	58.2	0	1326672000
2012-01-16 01:00:00	-7.8	776.0	3600	1326675600
2012-01-16 02:00:00	-7.9	475.3	7200	1326679200
2012-01-16 03:00:00	-8.7	514.1	10800	1326682800
2012-01-16 04:00:00	-8.6	523.8000000000002	14400	1326686400
2012-01-16 05:00:00	-8.6	494.7000000000001	18000	1326690000
2012-01-16 06:00:00	-8.3	562.6	21600	1326693600
2012-01-16 07:00:00	-7.7	630.5	25200	1326697200
2012-01-16 08:00:00	-5.5	601.4	28800	1326700800
2012-01-16 09:00:00	-3.5	58.2	32400	1326704400
2012-01-16 10:00:00	-1.8	591.7	36000	1326708000
2012-01-16 11:00:00	-1.6	58.2	39600	1326711600
2012-01-16 12:00:00	-0.6	58.2	43200	1326715200
2012-01-16 13:00:00	-0.5	58.2	46800	1326718800
2012-01-16 14:00:00	-0.1	58.2	50400	1326722400
2012-01-16 15:00:00	-0.3	58.2	54000	1326726000
2012-01-16 16:00:00	-0.3	58.2	57600	1326729600
2012-01-16 17:00:00	-0.8	58.2	61200	1326733200
2012-01-16 18:00:00	-0.3	58.2	64800	1326736800
2012-01-16 19:00:00	-0.2	58.2	68400	1326740400
2012-01-16 20:00:00	0.4	58.2	72000	1326744000
2012-01-16 21:00:00	1.4	58.2	75600	1326747600
2012-01-16 22:00:00	1.9	485.0	79200	1326751200
2012-01-16 23:00:00	2.3	873.0	82800	1326754800
2012-01-17 00:00:00	2.5	999.1	0	1326758400
2012-01-17 01:00:00	3.0	58.2	3600	1326762000
2012-01-17 02:00:00	3.0	58.2	7200	1326765600
2012-01-17 03:00:00	3.0	1387.1	10800	1326769200
2012-01-17 04:00:00	3.7	1309.5	14400	1326772800
2012-01-17 05:00:00	4.4	58.2	18000	1326776400
2012-01-17 06:00:00	4.4	58.2	21600	1326780000
2012-01-17 07:00:00	4.7	640.2	25200	1326783600
2012-01-17 08:00:00	5.4	523.8000000000002	28800	1326787200
2012-01-17 09:00:00	5.8	504.4	32400	1326790800
2012-01-17 10:00:00	6.7	494.7000000000001	36000	1326794400
2012-01-17 11:00:00	7.8	485.0	39600	1326798000
2012-01-17 12:00:00	8.3	475.3	43200	1326801600
2012-01-17 13:00:00	9.1	485.0	46800	1326805200
2012-01-17 14:00:00	10.4	485.0	50400	1326808800
2012-01-17 15:00:00	10.4	717.8000000000002	54000	1326812400
2012-01-17 16:00:00	10.2	698.4000000000002	57600	1326816000
2012-01-17 17:00:00	10.4	679.0000000000001	61200	1326819600
2012-01-17 18:00:00	10.4	669.3000000000002	64800	1326823200
