	Power	Date	PowerL	TsetL
2012-01-09 16:00:00	5872.0	9/1/2012 16:00	623263	26.11
2012-01-09 17:00:00	5873.0	9/1/2012 17:00	608296	26.11
2012-01-09 18:00:00	5874.0	9/1/2012 18:00	621726	26.11
2012-01-09 19:00:00	5875.0	9/1/2012 19:00	573759	26.11
2012-01-09 20:00:00	5876.0	9/1/2012 20:00	530911	24.11
2012-01-09 21:00:00	5877.0	9/1/2012 21:00	512038	24.11
2012-01-09 22:00:00	5878.0	9/1/2012 22:00	539833	25.11
2012-01-09 23:00:00	5879.0	9/1/2012 23:00	547771	25.11
2012-01-10 00:00:00	6576.0	10/1/2012 0:00	177716	15.11
2012-01-10 01:00:00	6577.0	10/1/2012 1:00	175311	15.11
2012-01-10 02:00:00	6578.0	10/1/2012 2:00	178536	15.11
2012-01-10 03:00:00	6579.0	10/1/2012 3:00	166558	15.11
2012-01-10 04:00:00	6580.0	10/1/2012 4:00	165278	15.11
2012-01-10 05:00:00	6581.0	10/1/2012 5:00	168822	15.11
2012-01-10 06:00:00	6582.0	10/1/2012 6:00	176486	15.11
2012-01-10 07:00:00	6583.0	10/1/2012 7:00	186039	15.11
2012-01-10 08:00:00	6584.0	10/1/2012 8:00	201935	16.11
2012-01-10 09:00:00	6585.0	10/1/2012 9:00	233576	16.11
2012-01-10 10:00:00	6586.0	10/1/2012 10:00	199359	16.11
2012-01-10 11:00:00	6587.0	10/1/2012 11:00	284931	17.11
2012-01-10 12:00:00	6588.0	10/1/2012 12:00	298951	17.11
2012-01-10 13:00:00	6589.0	10/1/2012 13:00	292263	17.11
2012-01-10 14:00:00	6590.0	10/1/2012 14:00	292356	18.11
2012-01-10 15:00:00	6591.0	10/1/2012 15:00	295445	18.11
2012-01-10 16:00:00	6592.0	10/1/2012 16:00	270190	18.11
2012-01-10 17:00:00	6593.0	10/1/2012 17:00	195724	17.11
2012-01-10 18:00:00	6594.0	10/1/2012 18:00	171193	17.11
