Power Tset
126349.0 15.11
141326.0 15.11
132043.0 15.11
135665.0 15.11
138467.0 15.11
144449.0 15.11
143241.0 15.11
144958.0 15.11
138437.0 15.11
137539.0 15.11
136869.0 15.11
135857.0 15.11
136757.0 15.11
134738.0 15.11
132234.0 15.11
132692.0 15.11
132709.0 15.11
130977.0 15.11
132506.0 15.11
131983.0 15.11
130685.0 15.11
129957.0 15.11
128588.0 15.11
128460.0 15.11
130304.0 15.11
131565.0 15.11
134896.0 15.11
143131.0 15.11
143604.0 15.11
146157.0 15.11
147183.0 15.11
144405.0 15.11
145476.0 15.11
143518.0 15.11
140869.0 15.11
139963.0 15.11
138916.0 15.11
139017.0 15.11
138773.0 15.11
142164.0 15.11
142053.0 15.11
279186.0 15.11
181534.0 15.11
186000.0 15.11
177313.0 15.11
179688.0 15.11
177172.0 15.11
268253.0 15.11
178850.0 15.11
214993.0 15.11
138776.0 15.11
243478.0 15.11
271851.0 15.11
271054.0 15.11
263969.0 15.11
237412.0 15.11
217063.0 15.11
154704.0 15.11
142079.0 15.11
139128.0 15.11
136711.0 15.11
135625.0 15.11
227859.0 15.11
137341.0 15.11
134234.0 15.11
161387.0 15.11
168792.0 15.11
158113.0 15.11
152218.0 15.11
153902.0 15.11
268330.0 15.11
254934.0 15.11
276962.0 15.11
191993.0 15.11
140471.0 15.11
212039.0 15.11
231342.0 15.11
237944.0 15.11
253269.0 15.11
241459.0 15.11
