Date	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset
1/8/2013 20:00	0.9	1270.7	72000	1357675200	457787	15.11
1/8/2013 21:00	0.5	1309.5	75600	1357678800	476104	15.11
1/8/2013 22:00	-0.8	1338.6	79200	1357682400	490034	15.11
1/8/2013 23:00	-0.6	1338.6	82800	1357686000	490066	15.11
1/9/2013 0:00	-1.5	1299.8	0	1357689600	471140	15.11
1/9/2013 1:00	-1.7	1280.4	3600	1357693200	461934	15.11
1/9/2013 2:00	-2	1270.7	7200	1357696800	457364	15.11
1/9/2013 3:00	-2.6	1299.8	10800	1357700400	471020	15.11
1/9/2013 4:00	-2.6	1299.8	14400	1357704000	471020	15.11
1/9/2013 5:00	-1.7	1299.8	18000	1357707600	471116	15.11
1/9/2013 6:00	-1.7	1319.2	21600	1357711200	480441	15.11
1/9/2013 7:00	-1.5	1309.5	25200	1357714800	475785	15.11
1/9/2013 8:00	1.6	1358	28800	1357718400	500186	15.11
1/9/2013 9:00	3	1008.8	32400	1357722000	348767	15.11
1/9/2013 10:00	3.8	58.2	36000	1357725600	35675	15.11
1/9/2013 11:00	4.8	58.2	39600	1357729200	35675	15.11
1/9/2013 12:00	5.9	1940	43200	1357732800	706012	15.11
1/9/2013 13:00	6.4	1920.6	46800	1357736400	697336	15.11
1/9/2013 14:00	6.5	1755.7	50400	1357740000	622752	15.11
1/9/2013 15:00	6.3	1678.1	54000	1357743600	589736	15.11
1/9/2013 16:00	6.5	1658.7	57600	1357747200	581979	15.11
1/9/2013 17:00	5.7	1503.5	61200	1357750800	544450	15.11
1/9/2013 18:00	4.5	1455	64800	1357754400	551920	15.11
1/9/2013 19:00	5.7	1406.5	68400	1357758000	527041	15.11
1/9/2013 20:00	5.5	999.1	72000	1357761600	345955	15.11
1/9/2013 21:00	6	1338.6	75600	1357765200	492781	15.11
1/9/2013 22:00	5.3	1309.5	79200	1357768800	478057	15.11
1/9/2013 23:00	4.8	1299.8	82800	1357772400	473080	15.11
1/10/2013 0:00	4.2	1280.4	0	1357776000	463506	15.11
1/10/2013 1:00	3.9	999.1	3600	1357779600	345402	15.11
1/10/2013 2:00	2.9	1008.8	7200	1357783200	348748	15.11
1/10/2013 3:00	2.7	1008.8	10800	1357786800	348712	15.11
1/10/2013 4:00	2.2	1008.8	14400	1357790400	348632	15.11
1/10/2013 5:00	0.9	1008.8	18000	1357794000	348469	15.11
1/10/2013 6:00	0.6	58.2	21600	1357797600	35675	15.11
1/10/2013 7:00	0.9	1008.8	25200	1357801200	348469	15.11
1/10/2013 8:00	2.9	58.2	28800	1357804800	35675	15.11
1/10/2013 9:00	3.8	1261	32400	1357808400	454197	15.11
1/10/2013 10:00	4.1	1396.8	36000	1357812000	521015	15.11
1/10/2013 11:00	4.5	1455	39600	1357815600	551920	15.11
1/10/2013 12:00	4.5	1455	43200	1357819200	551920	15.11
1/10/2013 13:00	5	1484.1	46800	1357822800	571817	15.11
1/10/2013 14:00	5.2	1493.8	50400	1357826400	556605	15.11
1/10/2013 15:00	4.7	1513.2	54000	1357830000	533237	15.11
1/10/2013 16:00	4.4	1503.5	57600	1357833600	543684	15.11
1/10/2013 17:00	3.2	1455	61200	1357837200	551227	15.11
1/10/2013 18:00	3.1	1367.7	64800	1357840800	505652	15.11
1/10/2013 19:00	3.1	1328.9	68400	1357844400	486329	15.11
1/10/2013 20:00	2.9	1251.3	72000	1357848000	449326	15.11
1/10/2013 21:00	2.5	1290.1	75600	1357851600	467349	15.11
1/10/2013 22:00	2.2	1270.7	79200	1357855200	458107	15.11
1/10/2013 23:00	1.7	1251.3	82800	1357858800	448974	15.11
1/11/2013 0:00	2.1	1231.9	0	1357862400	440220	15.11
1/11/2013 1:00	1.5	1251.3	3600	1357866000	448927	15.11
1/11/2013 2:00	0.3	1241.6	7200	1357869600	444254	15.11
1/11/2013 3:00	0.5	1261	10800	1357873200	453200	15.11
1/11/2013 4:00	0.9	1261	14400	1357876800	453276	15.11
1/11/2013 5:00	0.5	1251.3	18000	1357880400	448726	15.11
1/11/2013 6:00	0.9	1212.5	21600	1357884000	431253	15.11
1/11/2013 7:00	1.7	1280.4	25200	1357887600	462521	15.11
1/11/2013 8:00	2.4	1328.9	28800	1357891200	486041	15.11
1/11/2013 9:00	2.6	1309.5	32400	1357894800	476678	15.11
1/11/2013 10:00	3.2	1522.9	36000	1357898400	523387	15.11
1/11/2013 11:00	3.9	1940	39600	1357902000	704238	15.11
1/11/2013 12:00	4.5	1542.3	43200	1357905600	510243	15.11
1/11/2013 13:00	5	1532.6	46800	1357909200	516877	15.11
1/11/2013 14:00	5.1	1532.6	50400	1357912800	516855	15.11
1/11/2013 15:00	5.6	1610.2	54000	1357916400	561586	15.11
1/11/2013 16:00	5.3	1600.5	57600	1357920000	557502	15.11
1/11/2013 17:00	5.5	1435.6	61200	1357923600	542199	15.11
1/11/2013 18:00	5.5	1435.6	64800	1357927200	542199	15.11
1/11/2013 19:00	5.5	1338.6	68400	1357930800	492429	15.11
1/11/2013 20:00	6.1	1309.5	72000	1357934400	478604	15.11
1/11/2013 21:00	6.1	1338.6	75600	1357938000	492856	15.11
1/11/2013 22:00	6.1	1319.2	79200	1357941600	483319	15.11
1/11/2013 23:00	5.8	1309.5	82800	1357945200	478388	15.11
1/12/2013 0:00	5.5	1299.8	0	1357948800	473508	15.11
1/12/2013 1:00	5.5	1280.4	3600	1357952400	464259	15.11
1/12/2013 2:00	5.5	1270.7	7200	1357956000	459687	15.11
1/12/2013 3:00	5.5	1280.4	10800	1357959600	464259	15.11
1/12/2013 4:00	5.8	1270.7	14400	1357963200	459885	15.11
