Date	Twet	Load	Hour(s)	TimeStamp(s)
2013-02-08 15:00:00	4.2	1008.8	54000	1360335600
2013-02-08 16:00:00	2.8	1445.3	57600	1360339200
2013-02-08 17:00:00	2.8	1008.8	61200	1360342800
2013-02-08 18:00:00	2.8	863.3000000000002	64800	1360346400
2013-02-08 19:00:00	2.9	814.8000000000002	68400	1360350000
2013-02-08 20:00:00	1.8	659.6	72000	1360353600
2013-02-08 21:00:00	0.4	766.3000000000002	75600	1360357200
2013-02-08 22:00:00	-0.7	746.9	79200	1360360800
2013-02-08 23:00:00	-1.5	746.9	82800	1360364400
2013-02-09 00:00:00	-2.2	717.8000000000002	0	1360368000
2013-02-09 01:00:00	-2.9	640.2	3600	1360371600
2013-02-09 02:00:00	-3.5	649.9000000000002	7200	1360375200
2013-02-09 03:00:00	-3.5	630.5	10800	1360378800
2013-02-09 04:00:00	-4.0	640.2	14400	1360382400
2013-02-09 05:00:00	-4.0	630.5	18000	1360386000
2013-02-09 06:00:00	-4.4	630.5	21600	1360389600
2013-02-09 07:00:00	-4.2	688.7	25200	1360393200
2013-02-09 08:00:00	-3.8	756.6	28800	1360396800
2013-02-09 09:00:00	-3.3	785.7	32400	1360400400
2013-02-09 10:00:00	-3.1	2095.2	36000	1360404000
2013-02-09 11:00:00	-2.3	2007.9	39600	1360407600
2013-02-09 12:00:00	-1.4	2124.3	43200	1360411200
2013-02-09 13:00:00	-0.7	2109.75	46800	1360414800
2013-02-09 14:00:00	-0.5	2095.2	50400	1360418400
2013-02-09 15:00:00	-0.7	2095.2	54000	1360422000
2013-02-09 16:00:00	-0.7	2080.65	57600	1360425600
2013-02-09 17:00:00	-2.2	2022.4500000000005	61200	1360429200
2013-02-09 18:00:00	-2.5	1382.25	64800	1360432800
2013-02-09 19:00:00	-2.9	873.0	68400	1360436400
2013-02-09 20:00:00	-3.1	785.7	72000	1360440000
2013-02-09 21:00:00	-4.0	873.0	75600	1360443600
2013-02-09 22:00:00	-4.0	873.0	79200	1360447200
2013-02-09 23:00:00	-4.2	858.4499999999998	82800	1360450800
2013-02-10 00:00:00	-4.5	858.4499999999998	0	1360454400
2013-02-10 01:00:00	-4.3	800.2500000000001	3600	1360458000
2013-02-10 02:00:00	-5.7	1687.8000000000004	7200	1360461600
2013-02-10 03:00:00	-5.7	1629.6	10800	1360465200
2013-02-10 04:00:00	-7.0	1702.35	14400	1360468800
2013-02-10 05:00:00	-6.9	1775.1000000000006	18000	1360472400
2013-02-10 06:00:00	-7.8	1804.2000000000005	21600	1360476000
2013-02-10 07:00:00	-5.8	1906.05	25200	1360479600
2013-02-10 08:00:00	-3.2	2007.9	28800	1360483200
2013-02-10 09:00:00	-2.7	708.0999999999998	32400	1360486800
2013-02-10 10:00:00	-2.2	814.8000000000002	36000	1360490400
2013-02-10 11:00:00	-2.0	873.0	39600	1360494000
2013-02-10 12:00:00	-0.8	58.2	43200	1360497600
2013-02-10 13:00:00	-0.2	58.2	46800	1360501200
2013-02-10 14:00:00	0.0	58.2	50400	1360504800
2013-02-10 15:00:00	0.1	1241.6	54000	1360508400
2013-02-10 16:00:00	-1.5	58.2	57600	1360512000
2013-02-10 17:00:00	-1.6	1251.3	61200	1360515600
2013-02-10 18:00:00	-1.3	970.0	64800	1360519200
2013-02-10 19:00:00	-1.2	911.8	68400	1360522800
2013-02-10 20:00:00	-1.3	708.0999999999998	72000	1360526400
2013-02-10 21:00:00	-0.3	824.5000000000001	75600	1360530000
2013-02-10 23:00:00	0.7	776.0	82800	1360537200
2013-02-11 00:00:00	1.4	756.6	0	1360540800
2013-02-11 01:00:00	1.7	669.3000000000002	3600	1360544400
2013-02-11 02:00:00	1.9	679.0000000000001	7200	1360548000
2013-02-11 03:00:00	2.5	669.3000000000002	10800	1360551600
2013-02-11 04:00:00	2.7	649.9000000000002	14400	1360555200
2013-02-11 05:00:00	2.7	649.9000000000002	18000	1360558800
2013-02-11 06:00:00	2.7	630.5	21600	1360562400
2013-02-11 07:00:00	3.0	659.6	25200	1360566000
2013-02-11 08:00:00	3.6	766.3000000000002	28800	1360569600
2013-02-11 09:00:00	4.4	843.9000000000002	32400	1360573200
2013-02-11 10:00:00	6.4	2197.05	36000	1360576800
2013-02-11 11:00:00	7.5	2298.9	39600	1360580400
2013-02-11 12:00:00	8.3	2328.0	43200	1360584000
2013-02-11 13:00:00	8.8	2313.45	46800	1360587600
2013-02-11 14:00:00	9.4	2342.55	50400	1360591200
