Date	Twet	Load	Hour(s)	TimeStamp(s)
2011-02-20 18:00:00	1.4	523.8000000000002	64800	1298224800
2011-02-20 19:00:00	0.9	475.3	68400	1298228400
2011-02-20 20:00:00	1.8	591.7	72000	1298232000
2011-02-20 21:00:00	2.0	446.2	75600	1298235600
2011-02-20 22:00:00	1.9	523.8000000000002	79200	1298239200
2011-02-20 23:00:00	2.3	58.2	82800	1298242800
2011-02-21 00:00:00	2.0	58.2	0	1298246400
2011-02-21 01:00:00	2.4	485.0	3600	1298250000
2011-02-21 02:00:00	2.5	514.1	7200	1298253600
2011-02-21 03:00:00	1.7	679.0000000000001	10800	1298257200
2011-02-21 04:00:00	1.4	717.8000000000002	14400	1298260800
2011-02-21 05:00:00	2.6	698.4000000000002	18000	1298264400
2011-02-21 06:00:00	2.9	688.7	21600	1298268000
2011-02-21 07:00:00	2.9	717.8000000000002	25200	1298271600
2011-02-21 08:00:00	2.4	717.8000000000002	28800	1298275200
2011-02-21 09:00:00	2.7	776.0	32400	1298278800
2011-02-21 10:00:00	3.1	58.2	36000	1298282400
2011-02-21 11:00:00	3.2	58.2	39600	1298286000
2011-02-21 12:00:00	3.1	58.2	43200	1298289600
2011-02-21 13:00:00	2.9	58.2	46800	1298293200
2011-02-21 14:00:00	2.4	58.2	50400	1298296800
2011-02-21 15:00:00	2.4	58.2	54000	1298300400
2011-02-21 16:00:00	2.0	58.2	57600	1298304000
2011-02-21 17:00:00	1.2	58.2	61200	1298307600
2011-02-21 18:00:00	0.1	58.2	64800	1298311200
2011-02-21 19:00:00	-1.0	58.2	68400	1298314800
2011-02-21 20:00:00	-1.5	58.2	72000	1298318400
2011-02-21 21:00:00	-2.4	58.2	75600	1298322000
2011-02-21 22:00:00	-3.1	58.2	79200	1298325600
2011-02-21 23:00:00	-3.3	58.2	82800	1298329200
2011-02-22 00:00:00	-3.7	58.2	0	1298332800
2011-02-22 01:00:00	-3.7	58.2	3600	1298336400
2011-02-22 02:00:00	-4.2	58.2	7200	1298340000
2011-02-22 03:00:00	-4.4	58.2	10800	1298343600
2011-02-22 04:00:00	-4.9	58.2	14400	1298347200
2011-02-22 05:00:00	-5.3	58.2	18000	1298350800
2011-02-22 06:00:00	-5.8	58.2	21600	1298354400
2011-02-22 07:00:00	-5.7	58.2	25200	1298358000
2011-02-22 08:00:00	-4.8	58.2	28800	1298361600
2011-02-22 09:00:00	-4.6	58.2	32400	1298365200
2011-02-22 10:00:00	-3.9	58.2	36000	1298368800
2011-02-22 11:00:00	-2.7	58.2	39600	1298372400
2011-02-22 12:00:00	-2.0	58.2	43200	1298376000
2011-02-22 13:00:00	-1.1	58.2	46800	1298379600
2011-02-22 14:00:00	-0.9	58.2	50400	1298383200
2011-02-22 15:00:00	-0.9	58.2	54000	1298386800
2011-02-22 16:00:00	-1.9	58.2	57600	1298390400
2011-02-22 17:00:00	-2.7	58.2	61200	1298394000
2011-02-22 18:00:00	-3.4	58.2	64800	1298397600
2011-02-22 19:00:00	-4.1	58.2	68400	1298401200
2011-02-22 20:00:00	-5.2	58.2	72000	1298404800
2011-02-22 21:00:00	-5.7	58.2	75600	1298408400
2011-02-22 22:00:00	-6.2	58.2	79200	1298412000
2011-02-22 23:00:00	-6.3	58.2	82800	1298415600
2011-02-23 00:00:00	-7.1	58.2	0	1298419200
2011-02-23 01:00:00	-7.8	58.2	3600	1298422800
2011-02-23 02:00:00	-8.2	58.2	7200	1298426400
2011-02-23 03:00:00	-8.4	58.2	10800	1298430000
2011-02-23 04:00:00	-8.4	58.2	14400	1298433600
2011-02-23 05:00:00	-8.4	58.2	18000	1298437200
2011-02-23 06:00:00	-8.7	58.2	21600	1298440800
2011-02-23 07:00:00	-6.8	58.2	25200	1298444400
2011-02-23 08:00:00	-4.5	58.2	28800	1298448000
2011-02-23 09:00:00	-3.3	58.2	32400	1298451600
2011-02-23 10:00:00	-2.3	58.2	36000	1298455200
2011-02-23 11:00:00	-1.2	58.2	39600	1298458800
2011-02-23 12:00:00	-0.2	58.2	43200	1298462400
2011-02-23 13:00:00	0.1	58.2	46800	1298466000
2011-02-23 14:00:00	0.6	58.2	50400	1298469600
2011-02-23 15:00:00	0.8	58.2	54000	1298473200
2011-02-23 16:00:00	0.5	58.2	57600	1298476800
2011-02-23 17:00:00	-0.3	58.2	61200	1298480400
2011-02-23 18:00:00	-1.5	58.2	64800	1298484000
2011-02-23 19:00:00	-2.4	58.2	68400	1298487600
