Date	Twet	Load	Tset	Twet+Err	Load+Err
3/10/2012 23:00	-2.2	58.2	15.11	-0.5	48.54
3/11/2012 0:00	-2.7	58.2	15.11	-2.14	49.02
3/11/2012 1:00	-2.7	58.2	15.11	-2.38	75.56
3/11/2012 3:00	-2.2	58.2	15.11	-1.75	50.49
3/11/2012 4:00	-2.7	58.2	15.11	-2.54	60.46
3/11/2012 5:00	-3.1	58.2	15.11	-2.47	50.9
3/11/2012 6:00	-2	475.3	15.11	-1.22	521.25
3/11/2012 7:00	0.4	58.2	15.11	0.88	55.75
3/11/2012 8:00	2.4	58.2	15.11	2.91	53.8
3/11/2012 9:00	4.1	58.2	15.11	4.89	57.25
3/11/2012 10:00	4.5	58.2	15.11	4.58	57.24
3/11/2012 11:00	5.7	824.5	15.11	6.88	865.92
3/11/2012 12:00	6.7	640.2	15.11	8.13	762.66
3/11/2012 13:00	7.6	688.7	15.11	8.59	814.95
3/11/2012 14:00	8.3	659.6	15.11	10.07	783.07
3/11/2012 15:00	7.9	582	15.11	8.51	667.66
3/11/2012 16:00	7.9	475.3	15.11	9.04	421.65
3/11/2012 17:00	7.6	504.4	15.11	9.52	533.88
3/11/2012 18:00	6.5	426.8	15.11	8.08	302.99
3/11/2012 19:00	6.2	58.2	15.11	6.9	55.43
3/11/2012 20:00	5.1	58.2	15.11	5.6	73.1
3/11/2012 21:00	4.2	58.2	15.11	5.94	51.38
3/11/2012 22:00	3.9	475.3	15.11	4.4	608.7
3/11/2012 23:00	3.1	582	15.11	4.86	428.64
3/12/2012 0:00	2.7	630.5	15.11	3.16	689.82
3/12/2012 1:00	2.8	572.3	15.11	4.43	544.56
3/12/2012 2:00	1.8	611.1	15.11	2.26	593.97
3/12/2012 3:00	1.3	58.2	15.11	2.89	69.68
3/12/2012 4:00	1.3	58.2	15.11	2.12	43.17
3/12/2012 5:00	0.7	58.2	15.11	1.28	61.06
3/12/2012 6:00	0.4	58.2	15.11	1.5	72.89
3/12/2012 7:00	4.7	58.2	15.11	5.63	75.58
3/12/2012 8:00	5.9	58.2	15.11	6.8	62.29
3/12/2012 9:00	7.1	58.2	15.11	7.44	64.75
3/12/2012 10:00	8.3	58.2	15.11	9.02	61.18
3/12/2012 11:00	9.5	58.2	15.11	11.43	45.18
3/12/2012 12:00	10.3	58.2	15.11	11.61	70.55
3/12/2012 13:00	11.5	58.2	15.11	13.43	74.94
3/12/2012 14:00	12.7	58.2	15.11	14.47	62.24
3/12/2012 15:00	12.7	58.2	15.11	14.57	42.91
3/12/2012 16:00	12.7	58.2	15.11	14.48	69.24
3/12/2012 17:00	12.2	58.2	15.11	13.68	67.55
3/12/2012 18:00	11.5	58.2	15.11	12.89	45.06
3/12/2012 19:00	11.5	58.2	15.11	12.52	65.75
3/12/2012 20:00	11.5	58.2	15.11	11.92	46.16
3/12/2012 21:00	11.2	58.2	15.11	12.8	70.86
3/12/2012 22:00	10.7	58.2	15.11	12.07	41.71
3/12/2012 23:00	11	58.2	15.11	11.71	59.58
3/13/2012 0:00	13.2	58.2	15.11	14.43	43.28
