	Unnamed: 0	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek	Load_dis	Twet_dis	Tset_BN
173	2012-03-03 19:00:00	3.3	58.2	68400	1330801200	35675	15.11	19	3	5	100	10.0	15.11
174	2012-03-03 20:00:00	3.5	58.2	72000	1330804800	35675	15.11	20	3	5	100	10.0	15.11
175	2012-03-03 21:00:00	3.2	58.2	75600	1330808400	35675	15.11	21	3	5	100	10.0	15.11
176	2012-03-03 22:00:00	3.5	58.2	79200	1330812000	35675	15.11	22	3	5	100	10.0	15.11
177	2012-03-03 23:00:00	3.5	58.2	82800	1330815600	35675	15.11	23	3	5	100	10.0	15.11
178	2012-03-04 00:00:00	3.1	58.2	0	1330819200	35675	15.11	0	3	6	100	10.0	15.11
179	2012-03-04 01:00:00	2.7	58.2	3600	1330822800	35675	15.11	1	3	6	100	10.0	15.11
180	2012-03-04 02:00:00	3.0	58.2	7200	1330826400	35675	15.11	2	3	6	100	10.0	15.11
181	2012-03-04 03:00:00	2.6	58.2	10800	1330830000	35675	15.11	3	3	6	100	10.0	15.11
182	2012-03-04 04:00:00	2.3	58.2	14400	1330833600	35675	15.11	4	3	6	100	10.0	15.11
183	2012-03-04 05:00:00	2.0	58.2	18000	1330837200	35675	15.11	5	3	6	100	10.0	15.11
184	2012-03-04 06:00:00	1.5	58.2	21600	1330840800	35675	15.11	6	3	6	100	10.0	15.11
185	2012-03-04 07:00:00	1.2	58.2	25200	1330844400	35675	15.11	7	3	6	100	10.0	15.11
186	2012-03-04 08:00:00	1.2	58.2	28800	1330848000	35675	15.11	8	3	6	100	10.0	15.11
187	2012-03-04 09:00:00	1.6	58.2	32400	1330851600	35675	15.11	9	3	6	100	10.0	15.11
188	2012-03-04 10:00:00	1.8	58.2	36000	1330855200	35675	15.11	10	3	6	100	10.0	15.11
189	2012-03-04 14:00:00	2.4	58.2	50400	1330869600	35675	15.11	14	3	6	100	10.0	15.11
190	2012-03-04 15:00:00	1.5	58.2	54000	1330873200	35675	15.11	15	3	6	100	10.0	15.11
191	2012-03-04 16:00:00	1.3	58.2	57600	1330876800	35675	15.11	16	3	6	100	10.0	15.11
